project,regime,workers,algorithm,median_s,native_s,vs_native_pct
cli,cold,2,Quantity,283.705649734,203.172596884,-39.63775336099081
cli,cold,4,LPT,234.087034416,106.027098188,-120.78038389858872
cli,cold,8,Quantity,208.351533938,60.149271135,-246.39078746336332
cli,warm,2,Quantity,63.662719869,70.308009142,9.451681755884476
cli,warm,4,Round-Robin,35.988172278,36.619401988,1.723757559467657
cli,warm,8,Round-Robin,20.607314892,20.119313099,-2.425539036043222
goreleaser,cold,2,Round-Robin,492.92290816,358.030031057,-37.67641409988999
goreleaser,cold,4,Round-Robin,445.37535076,186.66343528,-138.59806827830283
goreleaser,cold,8,LPT,410.50374433,112.982282705,-263.3346171645665
goreleaser,warm,2,LPT,83.744493169,96.171798345,12.921984812449027
goreleaser,warm,4,LPT,59.824616648,48.927685961,-22.271502264966887
goreleaser,warm,8,LPT,35.549038232,41.822685381,15.000584232809953
grpc-go,cold,2,LPT,377.628131725,323.376258063,-16.776702775573167
grpc-go,cold,4,LPT,255.429355811,196.978583076,-29.673668996008562
grpc-go,cold,8,LPT,205.032553208,129.965106565,-57.75969306458128
grpc-go,warm,2,LPT,202.473407192,221.854360665,8.735890254717706
grpc-go,warm,4,LPT,103.985774401,134.695174776,22.79918373176334
grpc-go,warm,8,LPT,54.720523514,88.484606078,38.15814304946631
hugo,cold,2,Round-Robin,1489.05975692,1669.842296839,10.826324154156366
hugo,cold,4,Round-Robin,898.779731951,872.928812793,-2.961400606687284
hugo,cold,8,Round-Robin,703.548150514,493.841683929,-42.46431060994633
hugo,warm,2,LPT,130.364842162,151.703124238,14.065815838125618
hugo,warm,4,LPT,71.183282287,78.317763097,9.109658560042925
hugo,warm,8,LPT,54.086932414,58.517970161,7.572097485283445
