project,rank,package,duration_s,share_pct
cli,1,github.com/cli/cli/v2/pkg/cmd/repo/create,3.019,21.67731744405505
cli,2,github.com/cli/cli/v2/pkg/cmd/attestation/api,2.0805,14.938608460535448
cli,3,github.com/cli/cli/v2/internal/prompter,2.049499999,14.716019238129679
cli,4,github.com/cli/cli/v2/internal/codespaces/api,1.024999999,7.359804689791026
cli,5,github.com/cli/cli/v2/pkg/cmd/root,0.783,5.6221727587595565
cli,6,github.com/cli/cli/v2/git,0.6855,4.922093775389113
cli,7,github.com/cli/cli/v2/pkg/cmd/codespace,0.267,1.917139369845213
cli,8,github.com/cli/cli/v2/internal/codespaces/portforwarder,0.2005,1.4396496017002443
cli,9,github.com/cli/cli/v2/pkg/cmd/extension,0.174,1.2493717241687903
cli,10,github.com/cli/cli/v2/cmd/gen-docs,0.161,1.156027859719398
goreleaser,1,github.com/goreleaser/goreleaser/v2/internal/client,34.211,41.16649018196877
goreleaser,2,github.com/goreleaser/goreleaser/v2/internal/pipe/gomod,17.081,20.553763958908203
goreleaser,3,github.com/goreleaser/goreleaser/v2/internal/pipe/ko,6.244,7.513477089129607
goreleaser,4,github.com/goreleaser/goreleaser/v2/internal/git,5.492,6.608586831117842
goreleaser,5,github.com/goreleaser/goreleaser/v2/internal/builders/golang,4.52,5.438968040177102
goreleaser,6,github.com/goreleaser/goreleaser/v2/internal/pipe/sign,3.23,3.886696188002664
goreleaser,7,github.com/goreleaser/goreleaser/v2/cmd,2.817,3.389728533004181
goreleaser,8,github.com/goreleaser/goreleaser/v2/internal/pipe/git,1.968499999,2.368718712754349
goreleaser,9,github.com/goreleaser/goreleaser/v2/internal/pipe/nfpm,1.545,1.8591162880693857
goreleaser,10,github.com/goreleaser/goreleaser/v2/internal/pipe/changelog,1.043499999,1.2556555629393447
grpc-go,1,google.golang.org/grpc,53.143,15.799347132287817
grpc-go,2,google.golang.org/grpc/test,49.094,14.59558451936357
grpc-go,3,google.golang.org/grpc/credentials/alts,43.0915,12.811048810774336
grpc-go,4,google.golang.org/grpc/internal/xds/xdsclient/tests/fallback,18.597,5.52886473513269
grpc-go,5,google.golang.org/grpc/internal/xds/xdsclient/tests,16.8595,5.012308168089993
grpc-go,6,google.golang.org/grpc/internal/xds/clients/xdsclient/test,15.3115,4.552089712963606
grpc-go,7,google.golang.org/grpc/internal/transport,14.474,4.303102015180435
grpc-go,8,google.golang.org/grpc/internal/idle,13.9915,4.159655371382967
grpc-go,9,google.golang.org/grpc/balancer/pickfirst,10.9845,3.265678049312525
grpc-go,10,google.golang.org/grpc/internal/xds/balancer/cdsbalancer/e2e_test,9.745,2.8971762565934323
hugo,1,github.com/gohugoio/hugo,49.4185,41.60051518222118
hugo,2,github.com/gohugoio/hugo/resources/images,17.9885,15.14272726520201
hugo,3,github.com/gohugoio/hugo/hugolib,12.246,10.308688222456784
hugo,4,github.com/gohugoio/hugo/internal/warpc,11.8265,9.955552936704649
hugo,5,github.com/gohugoio/hugo/tpl/transform,3.9355,3.312905642616256
hugo,6,github.com/gohugoio/hugo/tpl/tplimpl,3.3935,2.856649802621843
hugo,7,github.com/gohugoio/hugo/resources/resource_factories/create,2.609,2.196257355249857
hugo,8,github.com/gohugoio/hugo/resources,2.3115,1.9458217235186064
hugo,9,github.com/gohugoio/hugo/tpl/templates,1.088,0.9158788817600017
hugo,10,github.com/gohugoio/hugo/hugolib/sitesmatrix,1.006999999,0.8476930450518776
