project,regime,workers,ffd_planned_s,lpt_planned_s,ffd_planned_vs_lpt_pct,ffd_exec_s,lpt_exec_s,ffd_exec_vs_lpt_pct
cli,cold,2,6.963499999,6.963999999,0.007179781735675027,370.980074196,284.575158448,-30.362775239845323
cli,cold,4,3.482,3.483,0.028710881424056554,342.800279899,234.087034416,-46.44137841902164
cli,cold,8,3.019,3.019,0.0,283.332760835,226.289589372,-25.208040556044352
cli,warm,2,6.963499999,6.963999999,0.007179781735675027,112.156988378,64.272936846,-74.50111023669528
cli,warm,4,3.482,3.483,0.028710881424056554,100.452448619,38.099745046,-163.65648509646982
cli,warm,8,3.019,3.019,0.0,82.09714818,29.579009815,-177.55205023248345
goreleaser,cold,2,41.551999999,41.553499998,0.0036098018219129975,560.434011976,516.620220117,-8.480851146143165
goreleaser,cold,4,34.211,34.211,0.0,499.873319002,473.159483662,-5.645841679691017
goreleaser,cold,8,34.211,34.211,0.0,501.146720061,410.50374433,-22.08091326400496
goreleaser,warm,2,41.551999999,41.553499998,0.0036098018219129975,116.362591174,83.744493169,-38.94954374990996
goreleaser,warm,4,34.211,34.211,0.0,88.946687736,59.824616648,-48.679076807713365
goreleaser,warm,8,34.211,34.211,0.0,89.272266039,35.549038232,-151.1242792460141
grpc-go,cold,2,168.180999999,168.181999995,0.0005945915734432842,449.858046217,377.628131725,-19.127259974529636
grpc-go,cold,4,84.090999999,84.091999998,0.001189172572925989,334.928884461,255.429355811,-31.123880964106622
grpc-go,cold,8,53.143,53.143,0.0,238.507227167,205.032553208,-16.326516660523097
grpc-go,warm,2,168.180999999,168.181999995,0.0005945915734432842,228.063912083,202.473407192,-12.63894614404015
grpc-go,warm,4,84.090999999,84.091999998,0.001189172572925989,138.237448952,103.985774401,-32.93880797474794
grpc-go,warm,8,53.143,53.143,0.0,63.395307179,54.720523514,-15.85288865663099
hugo,cold,2,59.3965,59.397,0.0008417933565588868,2423.918955566,1503.590072572,-61.208762932287165
hugo,cold,4,49.4185,49.4185,0.0,2407.31264587,1354.2997883,-77.75330592732396
hugo,cold,8,49.4185,49.4185,0.0,2439.700750895,890.444631759,-173.9867998390391
hugo,warm,2,59.3965,59.397,0.0008417933565588868,184.232084202,130.364842162,-41.32037529954663
hugo,warm,4,49.4185,49.4185,0.0,143.662802832,71.183282287,-101.82098691764982
hugo,warm,8,49.4185,49.4185,0.0,143.365498447,54.086932414,-165.06494646365059
