project,regime,workers,lpt_vs_rr_rep_wins,lpt_vs_qty_rep_wins,ffd_vs_lpt_rep_wins,n
cli,cold,2,5,1,0,5
cli,cold,4,2,2,0,5
cli,cold,8,0,0,0,5
cli,warm,2,5,0,0,5
cli,warm,4,0,1,0,5
cli,warm,8,0,0,0,5
goreleaser,cold,2,0,5,0,5
goreleaser,cold,4,0,0,0,5
goreleaser,cold,8,5,5,0,5
goreleaser,warm,2,5,5,0,5
goreleaser,warm,4,5,5,0,5
goreleaser,warm,8,5,5,0,5
grpc-go,cold,2,5,5,0,5
grpc-go,cold,4,5,5,0,5
grpc-go,cold,8,5,5,0,5
grpc-go,warm,2,5,5,0,5
grpc-go,warm,4,5,5,0,5
grpc-go,warm,8,5,5,0,5
hugo,cold,2,4,5,0,5
hugo,cold,4,0,0,0,5
hugo,cold,8,0,5,0,5
hugo,warm,2,5,5,0,5
hugo,warm,4,5,5,0,5
hugo,warm,8,5,5,0,5
