project,regime,workers,rank,algorithm,median_s,std_s,run_cv,planned_s,native_s,vs_rr_pct,vs_qty_pct,vs_lpt_pct,vs_native_pct,result_dir
cli,cold,2,1,Quantity,283.705649734,5.157089284,0.018248913830221897,8.621499998,203.172596884,1.8935673483374702,0.0,0.3055462461101957,-39.63775336099081,20260705-183645
cli,cold,2,2,LPT,284.575158448,4.70426762,0.016600095147315422,6.963999999,203.172596884,1.5928881120584044,-0.3064826924720214,0.0,-40.06571890719901,20260705-183645
cli,cold,2,3,Round-Robin,289.181496122,7.360751337,0.025399411723735475,8.623499999,203.172596884,0.0,-1.93011538301549,-1.618671741806895,-42.33292311910852,20260705-183645
cli,cold,2,4,FFD-Multifit,370.980074196,8.278324785,0.022206284689463413,6.963499999,203.172596884,-28.286242090500412,-30.76231458338165,-30.362775239845323,-82.59355832706538,20260705-183645
cli,cold,4,1,LPT,234.087034416,4.282058007,0.018118862241923342,3.483,106.027098188,0.06641119314512933,2.1772462488573563,0.0,-120.78038389858872,20260705-183645
cli,cold,4,2,Round-Robin,234.24259772,4.407692256,0.01863786345033184,4.5565,106.027098188,0.0,2.1122378180492563,-0.06645532692064583,-120.92710422448518,20260705-183645
cli,cold,4,3,Quantity,239.297122029,5.509532832,0.02339736640756805,7.049999998,106.027098188,-2.157816024155393,0.0,-2.2257053347692377,-125.69430468114362,20260705-183645
cli,cold,4,4,FFD-Multifit,342.800279899,6.674176353,0.019214155676370286,3.482,106.027098188,-46.34412495235539,-43.252989000618484,-46.44137841902164,-223.31383745990104,20260705-183645
cli,cold,8,1,Quantity,208.351533938,4.581260955,0.021762984472343823,4.461999998,60.149271135,2.042732814058803,0.0,7.92703521349868,-246.39078746336332,20260705-183645
cli,cold,8,2,Round-Robin,212.696352117,4.403720083,0.020512682456711943,4.041,60.149271135,0.0,-2.0853305453910984,6.007009554758578,-253.61418036075762,20260705-183645
cli,cold,8,3,LPT,226.289589372,8.207411551,0.03556475886175669,3.019,60.149271135,-6.390912265163168,-8.609514456148858,0.0,-276.21335238478946,20260705-183645
cli,cold,8,4,FFD-Multifit,283.332760835,7.415236691,0.025766764581337875,3.019,60.149271135,-33.20997657691107,-35.98784490797772,-25.208040556044352,-371.04936683120127,20260705-183645
cli,warm,2,1,Quantity,63.662719869,0.245494611,0.0038574826282838912,8.621499998,70.308009142,4.36918103362603,0.0,0.9494151145793952,9.451681755884476,20260707-131039
cli,warm,2,2,LPT,64.272936846,0.158541825,0.0024690488828834284,6.963999999,70.308009142,3.4525449021856254,-0.9585154047072578,0.0,8.583762176811275,20260707-131039
cli,warm,2,3,Round-Robin,66.571342332,0.180012038,0.002702166158821265,8.623499999,70.308009142,0.0,-4.5688001847629645,-3.5760081906744983,5.314710024647567,20260707-131039
cli,warm,2,4,FFD-Multifit,112.156988378,0.651764989,0.005803203382845319,6.963499999,70.308009142,-68.47638105096095,-76.17373025969921,-74.50111023669528,-59.5223499380821,20260707-131039
cli,warm,4,1,Round-Robin,35.988172278,0.316558436,0.008766668649068119,4.5565,36.619401988,0.0,4.515525654933362,5.542222829708124,1.723757559467657,20260707-131039
cli,warm,4,2,Quantity,37.690077392,0.284379579,0.007509742675619124,7.049999998,36.619401988,-4.72906793057783,0.0,1.075250381611184,-2.9237927051644763,20260707-131039
cli,warm,4,3,LPT,38.099745046,0.093267614,0.002447703788347252,3.483,36.619401988,-5.867407635176938,-1.0869376831976425,0.0,-4.042510193053136,20260707-131039
cli,warm,4,4,FFD-Multifit,100.452448619,0.102649953,0.0010218094616117948,3.482,36.619401988,-179.1262858336592,-166.52226678717773,-163.65648509646982,-174.31482538114022,20260707-131039
cli,warm,8,1,Round-Robin,20.607314892,0.089260432,0.004319429385261816,4.041,20.119313099,0.0,2.2722377559584332,30.33128890761686,-2.425539036043222,20260707-131039
cli,warm,8,2,Quantity,21.086449151,0.101695537,0.00483621475661103,4.461999998,20.119313099,-2.325068848178779,0.0,28.71144340908019,-4.8070033367494585,20260707-131039
cli,warm,8,3,LPT,29.579009815,0.148120051,0.00500927712325115,3.019,20.119313099,-43.53645766088096,-40.27496807634513,0.0,-47.017990472399276,20260707-131039
cli,warm,8,4,FFD-Multifit,82.09714818,0.426079624,0.005190596931545178,3.019,20.119313099,-298.3883810688556,-289.33604985885756,-177.55205023248345,-308.0514467667414,20260707-131039
goreleaser,cold,2,1,Round-Robin,492.92290816,6.81222805,0.01375456730408134,59.656999999,358.030031057,0.0,7.4614773867492685,4.586988862269703,-37.67641409988999,20260705-230606
goreleaser,cold,2,2,LPT,516.620220117,3.321767084,0.006427141474900609,41.553499998,358.030031057,-4.807508753337955,3.012679811907616,0.0,-44.295219759024015,20260705-230606
goreleaser,cold,2,3,Quantity,532.667795249,2.451107907,0.004614586145444829,70.288499998,358.030031057,-8.063104073892841,0.0,-3.10626152580046,-48.777406653967795,20260705-230606
