project,regime,algorithm,workers,median_s,std_s,run_cv,native_s,vs_rr_pct,vs_native_pct,planned_to_exec_ratio
hugo,warm,Round-Robin,4,91.582357488,11.808511147,0.12108001954320702,78.317763097,0.0,-16.936891282979087,0.5896441354119513
grpc-go,cold,FFD-Multifit,4,334.928884461,29.682791384,0.08553522113450551,196.978583076,5.407048732002814,-70.0331473761159,0.2510712091443752
grpc-go,cold,Quantity,4,309.329157302,20.40053836,0.06425378634134048,196.978583076,12.637102202972658,-57.03694912997314,0.4333393630466316
grpc-go,cold,Round-Robin,8,290.055532241,18.804546359,0.06296539368780038,129.965106565,0.0,-123.17954403856335,0.4460438971820866
grpc-go,warm,Round-Robin,2,275.212053788,16.162415507,0.06098193398457478,221.854360665,0.0,-24.050775005306335,0.8919013415963353
grpc-go,cold,LPT,4,255.429355811,12.976679733,0.049492566346264415,196.978583076,27.85986002512333,-29.673668996008562,0.32921822838649073
hugo,cold,FFD-Multifit,8,2439.700750895,112.052653897,0.04733489039426364,493.841683929,-246.77097070223226,-394.0248728063542,0.020255967860759526
hugo,cold,FFD-Multifit,4,2407.31264587,106.893072013,0.045276942695343346,872.928812793,-167.84233781556196,-175.77422243259744,0.020528492667864592
hugo,cold,Quantity,2,1511.524431558,60.216510863,0.038738705701004995,1669.842296839,-1.5086482952481706,9.481007013697916,0.05322772051793513
hugo,cold,FFD-Multifit,2,2423.918955566,94.548996456,0.038348753180104375,1669.842296839,-62.78184567822053,-45.158555400977804,0.024504325882517206
hugo,cold,Round-Robin,2,1489.05975692,54.50521867,0.035740843324413366,1669.842296839,0.0,10.826324154156366,0.05030489854546811
hugo,cold,LPT,2,1503.590072572,53.352353096,0.035584036334019235,1669.842296839,-0.9758047374844724,9.956163200663577,0.03950345315754653
grpc-go,cold,Round-Robin,4,354.073828939,12.835372411,0.03557517660275463,196.978583076,0.0,-79.7524499414173,0.5105178220617418
cli,cold,LPT,8,226.289589372,8.207411551,0.03556475886175669,60.149271135,-6.390912265163168,-276.21335238478946,0.013341311937408805
hugo,cold,LPT,4,1354.2997883,46.678150716,0.0347942329096349,872.928812793,-50.682057033061156,-55.14435638420711,0.03649007437417762
hugo,cold,Quantity,4,1157.295647454,40.098371262,0.03463791882003453,872.928812793,-28.76298900753291,-32.57617694519067,0.04392092903124858
grpc-go,cold,FFD-Multifit,8,238.507227167,8.111098364,0.03427075858548335,129.965106565,17.77187446684167,-83.51635563636025,0.2228150510625403
hugo,cold,Quantity,8,952.852198355,31.918238783,0.03426843473446368,493.841683929,-35.435250260961226,-92.94689560713395,0.05233235551755742
grpc-go,warm,LPT,4,103.985774401,3.307856902,0.031628622755942644,134.695174776,47.0959395302736,22.79918373176334,0.8086875390639137
hugo,cold,LPT,8,890.444631759,27.197056902,0.03114529467203846,493.841683929,-26.564845790363705,-80.30973502978334,0.05549867811811929
